type	count_UCE_noncoding
RCC	0
OV	9
PACA	1
Cholangio	14
Lymphoma	2
CNSC	0
EGAC	7
HNSC	21
RCC	5
EGAC	22
BLCA	4
CRC	7
RCC	2
BRCA	1
BRCA	2
BRCA	5
BRCA	11
BRCA	3
BRCA	6
BRCA	6
BRCA	4
BRCA	4
BRCA	7
BRCA	7
BRCA	5
BRCA	3
BRCA	7
BRCA	6
BRCA	3
BRCA	2
BRCA	2
RCC	8
HCC	6
HCC	15
CNSC	0
EGAC	20
PACA	5
RCC	4
PACA	2
PACA	6
HCC	5
EGAC	18
PRAD	4
PRAD	1
CNSC	0
PACA	0
CLL	1
Lymphoma	8
PRAD	4
BRCA	0
OV	4
HCC	6
PRAD	4
RCC	9
CESC	5
CNSC	1
BRCA	13
OV	3
RCC	7
UCEC	14
PACA	2
BRCA	4
BRCA	2
BRCA	6
BRCA	1
BRCA	1
BRCA	0
BRCA	37
PRAD	4
BRCA	0
BRCA	1
BRCA	1
BRCA	3
UCEC	29
BRCA	3
BRCA	9
BRCA	1
HCC	7
BRCA	1
BRCA	3
BRCA	2
BRCA	1
BRCA	0
BRCA	1
BRCA	1
BSTC	0
BSTC	3
BSTC	1
BSTC	6
BSTC	3
BSTC	0
BSTC	2
BSTC	6
BSTC	10
BSTC	2
BSTC	1
BSTC	1
BSTC	1
BSTC	9
BRCA	14
BSTC	0
BSTC	4
BSTC	2
BSTC	0
BSTC	4
BSTC	12
BSTC	1
BSTC	0
BSTC	6
BSTC	1
BSTC	5
BSTC	2
BSTC	2
BSTC	7
HCC	3
BSTC	5
BSTC	1
BSTC	2
BSTC	0
BSTC	3
BSTC	0
PNET	3
PRAD	2
CNSC	2
Myeloid	2
Myeloid	1
Myeloid	0
Myeloid	1
Myeloid	1
Myeloid	1
Myeloid	2
Myeloid	0
BRCA	5
Myeloid	2
Myeloid	3
Myeloid	5
Myeloid	0
Myeloid	2
Myeloid	0
Myeloid	1
Myeloid	1
Myeloid	1
Myeloid	1
Myeloid	0
Myeloid	0
Myeloid	2
Myeloid	2
PRAD	0
CNSC	1
Myeloid	0
Myeloid	0
Myeloid	1
Myeloid	0
Myeloid	3
Myeloid	4
Myeloid	3
Myeloid	0
PACA	6
HCC	8
Lymphoma	5
OV	4
RCC	8
PRAD	0
PRAD	1
PRAD	2
PRAD	0
PRAD	2
PRAD	8
PRAD	0
PRAD	2
PRAD	0
PRAD	4
PRAD	1
PRAD	4
PRAD	4
PRAD	5
PRAD	3
PRAD	1
Lymphoma	88
BRCA	1
NSCLC	3
PACA	0
RCC	3
Lymphoma	18
NSCLC	3
Myeloid	0
THCA	1
NSCLC	10
CLL	0
PACA	1
EGAC	13
NSCLC	15
HCC	15
RCC	1
CRC	16
NSCLC	72
RCC	4
CLL	4
HNSC	6
BRCA	7
HCC	12
PNET	2
RCC	7
BRCA	7
BRCA	6
BRCA	0
BRCA	3
BRCA	9
CRC	16
BRCA	8
BRCA	5
BRCA	9
BRCA	7
BRCA	4
BRCA	11
BRCA	4
BRCA	9
BRCA	3
BRCA	3
THCA	1
BRCA	0
BRCA	5
BRCA	0
BRCA	1
BRCA	0
BRCA	1
BRCA	1
BRCA	1
BRCA	1
BRCA	6
BRCA	3
BRCA	5
BRCA	0
BRCA	12
BRCA	2
BRCA	1
BRCA	3
BRCA	6
BRCA	4
BRCA	7
BRCA	1
BRCA	1
BRCA	23
BRCA	6
BRCA	4
BRCA	3
BRCA	3
BRCA	32
BRCA	1
BRCA	0
BRCA	2
BRCA	0
BRCA	0
BRCA	0
BRCA	1
BRCA	8
BRCA	5
BRCA	1
BRCA	8
BRCA	2
BRCA	3
BRCA	5
BRCA	1
BRCA	4
BRCA	4
BRCA	1
BRCA	1
BRCA	1
BRCA	1
BRCA	2
BRCA	13
BRCA	7
BRCA	7
BRCA	0
BRCA	2
BRCA	6
BSTC	0
BSTC	0
BSTC	0
BRCA	3
BSTC	0
BRCA	11
BSTC	1
BSTC	0
BSTC	0
BSTC	0
BSTC	1
BSTC	0
BSTC	0
BSTC	1
BSTC	2
BSTC	2
BSTC	0
BSTC	2
BSTC	0
BSTC	0
BSTC	0
BSTC	0
BSTC	1
BSTC	0
BSTC	0
BSTC	0
BSTC	0
BSTC	0
PRAD	5
PRAD	2
BRCA	4
BRCA	4
BRCA	4
BRCA	6
BRCA	9
CNSC	1
PRAD	5
BRCA	7
BRCA	6
CNSC	0
Lymphoma	19
UCEC	2
RCC	1
PACA	6
Lymphoma	22
HCC	10
BRCA	19
PRAD	1
CNSC	0
PNET	1
PACA	7
OV	9
RCC	5
HNSC	1
EGAC	5
OV	10
PRAD	0
CLL	4
HCC	8
BLCA	12
PACA	1
