type	count_UCE_noncoding
EGAC	3
CLL	2
PACA	6
PRAD	2
NSCLC	20
BRCA	1
HCC	1
HCC	9
EGAC	23
PNET	0
CNSC	9
CNSC	0
NSCLC	1
EGAC	2
HCC	13
EGAC	10
NSCLC	26
EGAC	76
HCC	16
CNSC	2
PACA	5
CNSC	0
Cholangio	0
CLL	2
PRAD	3
RCC	6
PACA	6
PACA	2
PRAD	2
EGAC	3
HCC	4
EGAC	6
OV	8
OV	1
CNSC	2
RCC	2
PNET	2
PNET	2
RCC	4
RCC	5
HCC	15
NSCLC	94
HCC	6
CNSC	0
PACA	4
Lymphoma	5
EGAC	32
RCC	27
PRAD	1
HCC	7
CNSC	0
PNET	2
EGAC	15
PACA	6
CRC	12
OV	5
HCC	8
HCC	9
PACA	8
PRAD	0
BSTC	3
HCC	4
CNSC	2
EGAC	12
EGAC	16
BSTC	1
CLL	2
Lymphoma	15
CNSC	3
HCC	7
PACA	4
HNSC	56
HCC	2
EGAC	25
PRAD	2
Lymphoma	7
PRAD	3
CLL	1
Lymphoma	1
PACA	7
CLL	1
THCA	0
CNSC	0
CLL	4
HCC	14
PACA	0
PACA	6
RCC	3
CRC	14
PACA	4
BSTC	2
HCC	18
PRAD	4
HCC	4
BLCA	30
BRCA	5
PRAD	2
CNSC	2
Lymphoma	7
HCC	3
BRCA	0
OV	10
HCC	2
EGAC	21
EGAC	29
CRC	11
EGAC	10
PRAD	3
OV	11
CRC	182
UCEC	83
HCC	12
PACA	7
RCC	5
HCC	7
CNSC	0
NSCLC	9
PRAD	1
CESC	16
CNSC	1
CLL	0
HCC	7
BRCA	2
PRAD	1
PACA	7
PNET	1
HCC	13
NSCLC	20
BLCA	24
HCC	1
OV	2
RCC	1
CNSC	0
BLCA	23
HCC	10
PRAD	1
NSCLC	34
UCEC	19
Lymphoma	17
HCC	6
HCC	8
PACA	7
NSCLC	28
OV	6
BRCA	4
HCC	17
HNSC	0
HNSC	16
PACA	2
CNSC	0
OV	9
HCC	7
RCC	1
BRCA	6
THCA	0
PRAD	1
EGAC	8
BRCA	0
HCC	21
HCC	13
CLL	4
BLCA	11
RCC	3
HCC	5
CNSC	0
HCC	12
EGAC	12
PNET	0
PRAD	1
NSCLC	16
CNSC	0
HCC	7
CNSC	2
CRC	14
UCEC	7
RCC	2
HCC	22
EGAC	0
CNSC	0
RCC	4
CNSC	1
NSCLC	25
CNSC	3
CNSC	2
CNSC	1
Lymphoma	1
PACA	0
CNSC	1
HCC	15
PACA	5
PACA	11
Lymphoma	22
PRAD	3
PNET	2
CLL	1
HCC	10
CLL	2
CLL	0
THCA	1
PACA	4
HCC	2
NSCLC	34
NSCLC	24
HCC	2
CNSC	0
PACA	4
PRAD	4
BSTC	9
HCC	7
PACA	6
Myeloid	0
CRC	9
HCC	6
CNSC	1
Lymphoma	0
BRCA	4
BSTC	0
CNSC	0
CNSC	2
Lymphoma	8
CNSC	2
CNSC	0
HCC	15
PACA	9
EGAC	4
Lymphoma	1
Lymphoma	38
Lymphoma	5
BRCA	0
OV	5
PRAD	5
RCC	0
HCC	5
BTCA	2
HCC	12
CNSC	3
HCC	5
HCC	8
RCC	0
HCC	17
HNSC	24
NSCLC	38
RCC	3
RCC	10
HCC	15
BTCA	3
HCC	13
HCC	6
CLL	1
RCC	7
CLL	2
PACA	2
PNET	0
HCC	4
PACA	13
CNSC	4
HNSC	35
PRAD	3
OV	9
CNSC	0
RCC	2
HCC	16
BSTC	1
PACA	11
NSCLC	4
CNSC	0
PACA	1
HCC	25
EGAC	17
CNSC	1
PACA	9
CLL	0
CNSC	1
NSCLC	33
OV	9
NSCLC	15
CNSC	3
HCC	13
PACA	5
PACA	11
PRAD	0
HCC	19
THCA	0
THCA	0
BRCA	1
RCC	2
HCC	10
HNSC	11
PRAD	2
OV	1
CRC	9
UCEC	4
HCC	2
PNET	1
UCEC	1
CNSC	2
CLL	1
EGAC	0
HCC	10
PNET	0
PACA	1
THCA	0
BSTC	4
EGAC	29
PACA	1
HCC	4
BTCA	5
HCC	20
Lymphoma	10
CNSC	6
PNET	0
CNSC	0
CNSC	0
CNSC	0
HCC	5
EGAC	5
Lymphoma	3
CNSC	0
HCC	7
PRAD	0
CNSC	0
PNET	4
RCC	2
Myeloid	0
HCC	11
OV	6
PNET	1
HCC	13
BTCA	2
PRAD	1
PRAD	4
CNSC	3
PRAD	6
PNET	1
Cholangio	5
BRCA	0
CNSC	2
NSCLC	1
HCC	4
CRC	13
PACA	5
CLL	1
OV	3
BRCA	7
HCC	7
Lymphoma	7
THCA	1
CNSC	0
RCC	1
THCA	0
RCC	9
EGAC	8
CNSC	0
PRAD	4
Cholangio	1
CNSC	3
OV	6
HCC	11
HCC	1
PRAD	5
OV	3
PACA	13
BRCA	10
EGAC	9
HCC	8
THCA	0
HCC	4
HCC	3
HCC	2
RCC	2
HCC	7
HCC	11
PNET	1
CNSC	4
CNSC	1
PNET	3
Lymphoma	3
CLL	7
PACA	7
CNSC	3
EGAC	4
CNSC	3
CNSC	0
HCC	2
RCC	4
CRC	25
EGAC	35
PNET	5
PACA	3
PACA	4
Cholangio	2
CLL	2
HCC	2
PRAD	3
PRAD	1
